#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
15500	 4.70	 12.26	 -161.41	 80.00	 -66.00	 -10.00
15600	 3.67	 10.99	 -161.76	 339.00	 -139.00	 -25.00
15700	 3.54	 10.97	 -161.74	 277.00	 -50.00	 -49.00
15800	 3.54	 10.97	 -161.74	 277.00	 -50.00	 -49.00
15900	 3.54	 10.97	 -161.74	 277.00	 -50.00	 -49.00
16000	 1.20	 10.50	 -159.86	 -385.00	 -46.00	 -105.00
16100	 1.25	 10.46	 -159.82	 -110.00	 -77.00	 -89.00
16200	 1.25	 10.46	 -159.82	 -110.00	 -77.00	 -89.00
16300	 1.25	 10.46	 -159.82	 -110.00	 -77.00	 -89.00
16400	 4.90	 10.21	 -158.38	 4.00	 -152.00	 -41.00
16500	 4.88	 10.22	 -158.35	 38.00	 -130.00	 -88.00
16600	 4.88	 10.22	 -158.35	 38.00	 -130.00	 -88.00
16700	 1.72	 9.53	 -156.74	 207.00	 -38.00	 -71.00
16800	 1.48	 9.54	 -156.66	 17.00	 77.00	 -137.00
16900	 1.48	 9.54	 -156.66	 17.00	 77.00	 -137.00
17000	 0.58	 11.23	 -153.95	 -160.00	 140.00	 -175.00
17100	 0.75	 11.30	 -153.85	 -198.00	 24.00	 -198.00
17200	 0.75	 11.30	 -153.85	 -198.00	 24.00	 -198.00
17300	 3.82	 12.41	 -151.41	 276.00	 -136.00	 -46.00
17400	 3.83	 12.39	 -151.34	 163.00	 -97.00	 -137.00
17500	 3.83	 12.39	 -151.34	 163.00	 -97.00	 -137.00
17600	 1.78	 11.42	 -148.87	 -23.00	 85.00	 -146.00
17700	 1.71	 11.40	 -148.77	 -197.00	 -24.00	 -144.00
17800	 1.71	 11.40	 -148.77	 -197.00	 -24.00	 -144.00
17900	 1.71	 11.40	 -148.77	 -197.00	 -24.00	 -144.00
18000	 2.62	 12.31	 -145.37	 -255.00	 -74.00	 -30.00
18100	 2.65	 12.23	 -145.34	 -181.00	 -16.00	 12.00
18200	 2.65	 12.23	 -145.34	 -181.00	 -16.00	 12.00
18300	 6.19	 11.72	 -146.30	 -54.00	 -78.00	 18.00
18400	 6.29	 11.76	 -146.35	 51.00	 -22.00	 45.00
18500	 6.29	 11.76	 -146.35	 51.00	 -22.00	 45.00
18600	 5.97	 11.63	 -147.54	 86.00	 -46.00	 24.00
18700	 5.97	 11.60	 -147.58	 233.00	 -377.00	 68.00
18800	 5.97	 11.60	 -147.58	 233.00	 -377.00	 68.00
18900	 1.88	 8.03	 -148.17	 99.00	 36.00	 -94.00
19000	 1.76	 7.88	 -148.14	 -112.00	 -87.00	 -175.00
19100	 1.76	 7.88	 -148.14	 -112.00	 -87.00	 -175.00
19200	 1.16	 8.32	 -145.74	 209.00	 -251.00	 -138.00
19300	 1.11	 8.30	 -145.62	 6.00	 -90.00	 -247.00
19400	 1.11	 8.30	 -145.62	 6.00	 -90.00	 -247.00
19500	 0.10	 7.52	 -141.71	 184.00	 72.00	 -271.00
19600	 0.06	 7.59	 -141.52	 126.00	 132.00	 -346.00
19700	 0.06	 7.59	 -141.52	 126.00	 132.00	 -346.00
19800	 -0.01	 11.04	 -134.98	 9.00	 -3.00	 -362.00
19900	 0.07	 11.15	 -134.74	 -9.00	 -5.00	 -373.00
20000	 0.07	 11.15	 -134.74	 -9.00	 -5.00	 -373.00
20100	 1.75	 10.95	 -128.66	 -335.00	 91.00	 -338.00
20200	 1.91	 10.94	 -128.46	 -78.00	 2.00	 -303.00
20300	 1.91	 10.94	 -128.46	 -78.00	 2.00	 -303.00
20400	 4.32	 10.58	 -124.02	 166.00	 75.00	 -76.00
20500	 4.31	 10.51	 -123.92	 59.00	 90.00	 -61.00
20600	 4.31	 10.51	 -123.92	 59.00	 90.00	 -61.00
20700	 1.65	 12.08	 -122.31	 -101.00	 -21.00	 0.00
20800	 1.64	 12.05	 -122.27	 -23.00	 -18.00	 -83.00
20900	 1.64	 12.05	 -122.27	 -23.00	 -18.00	 -83.00
21000	 1.19	 12.04	 -121.65	 -100.00	 58.00	 -22.00
21100	 1.23	 12.09	 -121.62	 0.00	 -85.00	 -15.00
21200	 1.23	 12.09	 -121.62	 0.00	 -85.00	 -15.00
21300	 1.30	 12.59	 -121.10	 -59.00	 -104.00	 -5.00
21400	 1.29	 12.58	 -121.10	 95.00	 -191.00	 55.00
21500	 1.29	 12.58	 -121.10	 95.00	 -191.00	 55.00
21600	 0.22	 11.50	 -121.51	 89.00	 -150.00	 90.00
21700	 0.17	 11.48	 -121.55	 -91.00	 -17.00	 65.00
21800	 0.17	 11.48	 -121.55	 -91.00	 -17.00	 65.00
21900	 0.08	 11.34	 -122.37	 -178.00	 -119.00	 110.00
