#Time(ms)	 Roll 	 Pitch 	 Yaw 	 xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
5700	 -1.47	 0.27	 -1.11	 0.04	 -0.07	 1.69	 1	 1	 1	 hover	 1500	 1499	 1500	 1066	 0.00	 0.00	 0.00
5800	 -1.47	 0.27	 -1.11	 0.00	 -0.20	 1.84	 1	 1	 1	 hover	 1500	 1500	 1500	 1069	 0.00	 0.00	 0.00
5900	 -1.47	 0.28	 -1.15	 -0.01	 -0.15	 2.31	 1	 1	 1	 hover	 1500	 1500	 1500	 1076	 0.00	 0.00	 0.00
6000	 -1.47	 0.28	 -1.16	 0.00	 -0.21	 0.59	 1	 1	 1	 hover	 1500	 1500	 1500	 1059	 0.00	 0.00	 0.00
6100	 -1.47	 0.28	 -1.16	 -0.00	 -0.17	 1.67	 1	 1	 1	 hover	 1500	 1500	 1500	 1072	 0.00	 0.00	 0.00
6200	 -1.47	 0.28	 -1.20	 -0.00	 -0.36	 1.51	 0	 1	 1	 hover	 1500	 1500	 1500	 1072	 0.00	 0.00	 0.00
6300	 -1.47	 0.28	 -1.20	 0.00	 -0.32	 1.56	 1	 1	 1	 hover	 1500	 1499	 1500	 1074	 0.00	 0.00	 0.00
6400	 -1.47	 0.28	 -1.20	 0.00	 -0.74	 1.55	 1	 1	 1	 hover	 1500	 1499	 1500	 1075	 0.00	 0.00	 0.00
6500	 -1.47	 0.27	 -1.25	 0.00	 0.00	 1.69	 1	 1	 1	 hover	 1500	 1499	 1500	 1078	 0.00	 0.00	 0.00
6600	 -1.47	 0.27	 -1.25	 -0.06	 -0.22	 0.26	 1	 1	 1	 hover	 1500	 1500	 1500	 1064	 0.00	 0.00	 0.00
6700	 -1.47	 0.27	 -1.25	 -0.06	 -0.10	 1.15	 1	 1	 1	 hover	 1500	 1500	 1500	 1074	 0.00	 0.00	 0.00
6800	 -1.46	 0.28	 -1.30	 0.05	 0.07	 0.31	 1	 1	 1	 hover	 1499	 1499	 1500	 1066	 0.00	 0.00	 0.00
6900	 -1.46	 0.28	 -1.30	 0.05	 -0.01	 1.96	 0	 1	 1	 hover	 1500	 1500	 1500	 1085	 0.00	 0.00	 0.00
7000	 -1.46	 0.28	 -1.30	 0.00	 -0.18	 0.22	 1	 1	 1	 hover	 1500	 1500	 1500	 1067	 0.00	 0.00	 0.00
7100	 -1.46	 0.28	 -1.34	 0.00	 -0.17	 -0.14	 0	 1	 1	 hover	 1500	 1500	 1500	 1064	 0.00	 0.00	 0.00
7200	 -1.46	 0.28	 -1.34	 0.00	 -0.51	 2.31	 1	 1	 1	 hover	 1500	 1499	 1500	 1091	 0.00	 0.00	 0.00
7300	 -1.46	 0.28	 -1.34	 -0.08	 -0.55	 1.18	 1	 1	 1	 hover	 1500	 1500	 1500	 1080	 0.00	 0.00	 0.00
7400	 -1.46	 0.28	 -1.39	 0.01	 -0.28	 1.69	 1	 1	 1	 hover	 1500	 1499	 1500	 1087	 0.00	 0.00	 0.00
7500	 -1.46	 0.28	 -1.39	 0.00	 -0.29	 0.44	 1	 1	 1	 hover	 1500	 1500	 1500	 1075	 0.00	 0.00	 0.00
7600	 -1.46	 0.28	 -1.39	 0.00	 -0.46	 2.49	 0	 1	 1	 hover	 1500	 1500	 1500	 1098	 0.00	 0.00	 0.00
7700	 -1.46	 0.28	 -1.44	 0.00	 -0.44	 1.98	 1	 1	 1	 hover	 1500	 1499	 1500	 1095	 0.00	 0.00	 0.00
7800	 -1.46	 0.28	 -1.44	 -0.08	 0.05	 -0.54	 1	 1	 1	 hover	 1499	 1500	 1500	 1069	 0.00	 0.00	 0.00
7900	 -1.46	 0.28	 -1.44	 -0.09	 0.05	 -0.54	 1	 1	 1	 hover	 1499	 1500	 1500	 1069	 0.00	 0.00	 0.00
8000	 -1.46	 0.28	 -1.49	 0.00	 -0.00	 0.52	 1	 1	 1	 hover	 1500	 1500	 1500	 1080	 0.00	 0.00	 0.00
8100	 -1.46	 0.28	 -1.49	 0.01	 -0.00	 0.42	 1	 1	 1	 hover	 1500	 1499	 1500	 1079	 0.00	 0.00	 0.00
8200	 -1.46	 0.28	 -1.49	 -0.00	 -0.68	 0.45	 1	 1	 1	 hover	 1500	 1500	 1500	 1080	 0.00	 0.00	 0.00
8300	 -1.46	 0.27	 -1.54	 0.07	 -0.15	 0.36	 1	 1	 1	 hover	 1500	 1499	 1500	 1080	 0.00	 0.00	 0.00
8400	 -1.46	 0.27	 -1.54	 0.07	 -0.16	 -0.58	 1	 1	 1	 hover	 1500	 1499	 1500	 1070	 0.00	 0.00	 0.00
8500	 -1.46	 0.27	 -1.54	 0.07	 0.09	 -0.72	 0	 1	 1	 hover	 1499	 1500	 1500	 1067	 0.00	 0.00	 0.00
8600	 -1.46	 0.27	 -1.58	 0.00	 0.08	 2.22	 1	 1	 1	 hover	 1499	 1499	 1500	 1099	 0.00	 0.00	 0.00
8700	 -1.46	 0.27	 -1.58	 -0.08	 -0.32	 2.85	 1	 1	 1	 hover	 1500	 1500	 1500	 1108	 0.00	 0.00	 0.00
8800	 -1.46	 0.27	 -1.58	 -0.08	 0.34	 0.62	 1	 1	 1	 hover	 1499	 1500	 1500	 1087	 0.00	 0.00	 0.00
8900	 -1.46	 0.28	 -1.63	 0.02	 0.18	 0.62	 1	 1	 1	 hover	 1499	 1499	 1500	 1087	 0.00	 0.00	 0.00
9000	 -1.46	 0.28	 -1.63	 0.02	 0.02	 1.37	 1	 1	 1	 hover	 1499	 1499	 1500	 1096	 0.00	 0.00	 0.00
9100	 -1.46	 0.28	 -1.63	 0.02	 -0.21	 2.22	 1	 1	 1	 hover	 1500	 1499	 1500	 1107	 0.00	 0.00	 0.00
9200	 -1.46	 0.28	 -1.68	 0.07	 -0.21	 2.22	 1	 1	 1	 hover	 1500	 1499	 1500	 1109	 0.00	 0.00	 0.00
9300	 -1.46	 0.28	 -1.68	 0.07	 -0.26	 1.82	 1	 1	 1	 hover	 1500	 1499	 1500	 1107	 0.00	 0.00	 0.00
9400	 -1.46	 0.28	 -1.68	 0.07	 -0.13	 1.33	 0	 1	 1	 hover	 1500	 1500	 1500	 1103	 0.00	 0.00	 0.00
9500	 -1.46	 0.28	 -1.72	 0.00	 -0.08	 1.15	 1	 1	 1	 hover	 1500	 1499	 1500	 1103	 0.00	 0.00	 0.00
9600	 -1.46	 0.28	 -1.73	 0.00	 -0.19	 0.50	 0	 1	 1	 hover	 1500	 1500	 1500	 1097	 0.00	 0.00	 0.00
9700	 -1.46	 0.28	 -1.73	 0.00	 0.07	 -0.45	 1	 1	 1	 hover	 1499	 1499	 1500	 1087	 0.00	 0.00	 0.00
9800	 -1.46	 0.28	 -1.78	 0.00	 -0.23	 0.62	 1	 1	 1	 hover	 1500	 1499	 1500	 1098	 0.00	 0.00	 0.00
9900	 -1.46	 0.28	 -1.78	 -0.07	 -0.26	 1.15	 1	 1	 1	 hover	 1500	 1500	 1500	 1104	 0.00	 0.00	 0.00
10000	 -1.46	 0.28	 -1.78	 -0.07	 -0.26	 0.31	 1	 1	 1	 hover	 1500	 1500	 1500	 1096	 0.00	 0.00	 0.00
10100	 -1.46	 0.27	 -1.82	 -0.07	 -0.68	 1.55	 1	 1	 1	 hover	 1500	 1500	 1500	 1110	 0.00	 0.00	 0.00
